that                 - 7813
with                 - 5695
said                 - 2834
from                 - 2700
were                 - 2434
what                 - 2315
they                 - 2166
this                 - 2104
which                - 2023
have                 - 1978
prince               - 1886
pierre               - 1786
them                 - 1514
when                 - 1487
been                 - 1475
there                - 1463
their                - 1438
would                - 1362
only                 - 1292
could                - 1111
natasha              - 1092
will                 - 1064
more                 - 1053
andrew               - 1040
about                - 1016
himself              - 1014
into                 - 1003
then                 - 935
time                 - 922
princess             - 915
face                 - 891
french               - 874
went                 - 859
some                 - 844
know                 - 841
after                - 834
before               - 823
eyes                 - 820
your                 - 816
very                 - 801
thought              - 765
room                 - 755
well                 - 741
like                 - 734
chapter              - 732
rostov               - 715
began                - 715
moscow               - 708
again                - 703
down                 - 690
came                 - 681
come                 - 679
without              - 670
asked                - 668
still                - 667
same                 - 663
those                - 654
count                - 650
looked               - 647
army                 - 641
felt                 - 628
nicholas             - 627
first                - 619
where                - 616
mary                 - 613
away                 - 613
left                 - 605
another              - 603
over                 - 599
something            - 598
such                 - 590
these                - 590
life                 - 589
other                - 581
seemed               - 579
head                 - 566
just                 - 563
little               - 554
hand                 - 536
than                 - 534
whole                - 531
dont                 - 528
people               - 525
emperor              - 522
should               - 520
long                 - 517
back                 - 515
even                 - 505
heard                - 497
having               - 488
because              - 487
general              - 486
countess             - 484
must                 - 482
napoleon             - 475
look                 - 475
here                 - 475
always               - 464
nothing              - 462
being                - 460
made                 - 458
russian              - 453
right                - 449
kutuzov              - 446
though               - 445
love                 - 442
young                - 441
suddenly             - 429
round                - 424
voice                - 423
smile                - 414
moment               - 413
sonya                - 411
officer              - 410
never                - 409
knew                 - 409
told                 - 409
everything           - 406
whom                 - 401
while                - 398
took                 - 396
much                 - 394
words                - 391
looking              - 391
house                - 389
good                 - 385
turned               - 384
dear                 - 383
through              - 379
quite                - 375
tell                 - 375
under                - 371
soldiers             - 365
denisov              - 363
think                - 356
once                 - 356
battle               - 351
take                 - 349
understand           - 347
evidently            - 347
last                 - 346
every                - 336
father               - 330
door                 - 329
herself              - 328
already              - 326
most                 - 325
feeling              - 319
going                - 318
might                - 314
behind               - 311
place                - 310
others               - 307
stood                - 307
done                 - 303
gave                 - 303
replied              - 300
expression           - 299
side                 - 297
order                - 295
anything             - 293
anna                 - 293
toward               - 292
position             - 292
boris                - 290
seen                 - 287
horse                - 286
dolokhov             - 284
give                 - 280
make                 - 276
thats                - 273
also                 - 268
front                - 265
great                - 262
horses               - 261
troops               - 260
hands                - 260
three                - 259
both                 - 258
soon                 - 252
talk                 - 251
officers             - 251
want                 - 249
shall                - 248
petya                - 246
wife                 - 244
shouted              - 244
petersburg           - 242
taken                - 242
between              - 240
alone                - 237
part                 - 236
many                 - 233
saying               - 233
word                 - 233
whether              - 232
things               - 232
letter               - 230
called               - 227
thing                - 225
mind                 - 225
along                - 225
sent                 - 224
during               - 224
found                - 223
against              - 223
table                - 222
regiment             - 221
rode                 - 221
sitting              - 220
night                - 218
everyone             - 217
question             - 216
rostovs              - 216
among                - 216
continued            - 215
days                 - 215
evening              - 214
vasili               - 214
speak                - 214
entered              - 213
moved                - 212
crowd                - 210
cried                - 210
brought              - 209
leave                - 209
anatole              - 208
does                 - 208
added                - 208
morning              - 207
wounded              - 206
near                 - 205
received             - 205
enemy                - 205
power                - 204
really               - 203
orders               - 202
drawing              - 202
taking               - 201
road                 - 201
themselves           - 200
mother               - 199
understood           - 198
fire                 - 196
cant                 - 195
white                - 194
happy                - 194
next                 - 193
stopped              - 193
action               - 192
passed               - 191
talking              - 189
wished               - 189
rose                 - 188
tried                - 188
since                - 188
several              - 188
soldier              - 187
fellow               - 187
movement             - 187
wish                 - 186
beside               - 184
each                 - 183
anyone               - 182
small                - 181
turning              - 181
wanted               - 180
remained             - 179
death                - 179
noticed              - 179
given                - 179
arms                 - 177
impossible           - 176
longer               - 176
heart                - 176
till                 - 174
forward              - 173
past                 - 173
around               - 172
home                 - 172
woman                - 170
became               - 170
possible             - 170
large                - 169
thousand             - 168
seeing               - 168
news                 - 167
spoke                - 167
matter               - 167
happened             - 167
pierres              - 167
cannot               - 167
tears                - 166
work                 - 166
dinner               - 166
silent               - 164
ready                - 164
trying               - 164
friend               - 163
conversation         - 163
better               - 162
russia               - 162
gone                 - 161
full                 - 161
commander            - 161
find                 - 161
coming               - 160
sound                - 160
strange              - 159
bolkonski            - 158
adjutant             - 157
faces                - 157
standing             - 157
itself               - 157
world                - 156
honor                - 155
speaking             - 155
history              - 155
terrible             - 155
almost               - 154
fact                 - 154
else                 - 153
free                 - 153
answered             - 153
hair                 - 153
times                - 152
glanced              - 152
smiled               - 150
soul                 - 150
kept                 - 149
reply                - 147
wont                 - 147
tone                 - 147
different            - 146
above                - 146
myself               - 146
cause                - 146
reached              - 145
afraid               - 145
village              - 145
returned             - 145
russians             - 144
smiling              - 144
state                - 144
help                 - 144
repeated             - 144
voices               - 143
field                - 143
answer               - 142
less                 - 142
light                - 142
held                 - 142
women                - 141
kind                 - 141
hear                 - 141
mademoiselle         - 141
doing                - 140
often                - 140
half                 - 139
lost                 - 139
together             - 139
certain              - 138
quickly              - 138
cold                 - 137
necessary            - 137
helene               - 137
steps                - 137
listened             - 136
emperors             - 136
staff                - 135
sides                - 135
husband              - 135
family               - 135
used                 - 135
chief                - 135
bagration            - 134
followed             - 134
alpatych             - 134
please               - 134
bridge               - 133
force                - 133
feel                 - 133
later                - 132
read                 - 132
ever                 - 131
sometimes            - 131
especially           - 131
merely               - 131
known                - 130
immediately          - 130
society              - 130
command              - 130
third                - 129
brother              - 129
important            - 129
girl                 - 129
glad                 - 129
money                - 127
service              - 127
killed               - 127
either               - 127
reason               - 126
happiness            - 126
present              - 125
contrary             - 125
fell                 - 125
remember             - 124
grew                 - 124
best                 - 124
believe              - 124
smoke                - 124
years                - 124
doctor               - 123
someone              - 123
course               - 123
excellency           - 123
appeared             - 122
hundred              - 122
become               - 122
pleasure             - 122
presence             - 121
black                - 120
peasants             - 120
loved                - 120
holding              - 120
says                 - 120
former               - 120
usual                - 120
fine                 - 120
true                 - 120
mikhaylovna          - 119
kissed               - 119
daughter             - 119
clear                - 119
moving               - 119
town                 - 119
second               - 118
coat                 - 118
strength             - 118
attention            - 118
thinking             - 118
high                 - 118
historians           - 118
name                 - 118
frightened           - 117
events               - 117
waiting              - 117
affairs              - 117
carriage             - 117
yourself             - 117
prisoners            - 117
across               - 116
opened               - 116
expressed            - 116
ones                 - 116
line                 - 116
generals             - 116
military             - 115
thoughts             - 115
perhaps              - 115
natashas             - 115
alexander            - 115
short                - 114
peace                - 114
marya                - 114
ball                 - 113
lips                 - 113
window               - 112
study                - 112
drew                 - 112
everybody            - 112
pavlovna             - 112
pale                 - 112
whose                - 112
feet                 - 112
bourienne            - 112
besides              - 111
freedom              - 111
ordered              - 110
showed               - 110
show                 - 110
fear                 - 110
hussars              - 109
need                 - 108
making               - 108
human                - 108
handsome             - 108
company              - 107
meet                 - 107
able                 - 107
giving               - 107
shoulders            - 107
rest                 - 107
angry                - 107
beyond               - 106
activity             - 106
asking               - 106
mans                 - 105
silence              - 105
late                 - 105
raised               - 105
running              - 105
close                - 105
borodino             - 105
ground               - 105
straight             - 104
colonel              - 104
turn                 - 103
four                 - 103
considered           - 103
rostopchin           - 103
children             - 103
attack               - 103
shouting             - 103
dress                - 102
remembered           - 102
mamma                - 102
campaign             - 102
guns                 - 101
fathers              - 101
legs                 - 101
commanderinchief     - 101
smolensk             - 101
ought                - 101
project              - 100
decided              - 100
captain              - 100
however              - 100
country              - 100
child                - 100
napoleons            - 100
business             - 99
wait                 - 99
open                 - 99
body                 - 99
thin                 - 99
galloped             - 99
return               - 99
tomorrow             - 98
questions            - 98
upon                 - 97
unable               - 97
neither              - 96
changed              - 96
andrews              - 96
flank                - 96
carried              - 96
meaning              - 95
talked               - 95
laws                 - 95
laughing             - 95
uniform              - 95
rapidly              - 95
balashev             - 95
frenchman            - 95
case                 - 95
guards               - 94
interrupted          - 94
fresh                - 94
struck               - 94
wrote                - 94
opinion              - 93
arrived              - 93
dark                 - 93
meeting              - 93
remarked             - 92
closed               - 92
berg                 - 91
live                 - 91
german               - 91
clearly              - 91
corner               - 91
call                 - 91
plan                 - 90
duty                 - 90
occupied             - 90
dmitrievna           - 90
hope                 - 90
spent                - 89
master               - 89
listen               - 89
beginning            - 89
hardly               - 88
foot                 - 88
sight                - 88
rather               - 88
ladies               - 88
living               - 88
pleased              - 87
uncle                - 87
farther              - 87
expected             - 87
particularly         - 87
gazed                - 87
porch                - 87
event                - 87
sounds               - 86
pleasant             - 86
experienced          - 86
book                 - 86
cossacks             - 86
forces               - 86
within               - 86
five                 - 86
calm                 - 86
knows                - 85
seems                - 85
retreat              - 85
water                - 85
surprise             - 85
listening            - 85
knowing              - 85
firing               - 85
cannon               - 85
year                 - 84
exclaimed            - 84
today                - 84
move                 - 84
passing              - 84
sake                 - 84
subject              - 84
least                - 84
reading              - 83
keep                 - 83
victory              - 83
truth                - 83
view                 - 83
change               - 83
various              - 83
seem                 - 83
difficult            - 83
pass                 - 83
bring                - 83
lady                 - 82
friends              - 82
hard                 - 82
marry                - 82
point                - 82
hill                 - 82
fixed                - 82
meant                - 82
beautiful            - 81
finished             - 81
leaving              - 81
happen               - 81
pressed              - 81
instead              - 81
march                - 81
infantry             - 81
seized               - 81
hills                - 81
despite              - 81
begun                - 81
kutuzovs             - 80
lying                - 80
step                 - 80
quiet                - 80
whispered            - 80
nonsense             - 80
carts                - 80
hussar               - 80
bald                 - 79
cossack              - 79
prepared             - 79
bonaparte            - 79
continually          - 79
tikhon               - 79
number               - 78
street               - 78
sleep                - 78
angrily              - 78
drove                - 78
probably             - 78
rushed               - 78
single               - 78
effort               - 78
middle               - 78
asleep               - 78
covered              - 78
deep                 - 78
pointing             - 77
remain               - 77
distance             - 77
fight                - 77
getting              - 77
ranks                - 77
laughed              - 77
simply               - 77
condition            - 76
conception           - 76
cavalry              - 76
future               - 76
mouth                - 76
involuntarily        - 76
poor                 - 75
theres               - 75
gentlemen            - 75
person               - 75
thank                - 75
hearing              - 75
evident              - 75
blue                 - 74
battery              - 74
fall                 - 74
following            - 74
affair               - 74
lived                - 74
desire               - 74
story                - 74
result               - 73
looks                - 73
matters              - 73
glancing             - 73
married              - 73
sister               - 73
direction            - 73
special              - 73
suite                - 73
paused               - 73
means                - 73
path                 - 73
nearer               - 73
sofa                 - 73
gray                 - 72
presented            - 72
dressed              - 72
cross                - 72
suffering            - 72
liked                - 72
forget               - 72
glass                - 71
bright               - 71
stop                 - 71
placed               - 71
spite                - 71
sense                - 71
danger               - 71
serfs                - 71
therefore            - 71
idea                 - 71
youre                - 71
real                 - 71
walked               - 70
party                - 70
report               - 70
except               - 70
brilliant            - 70
occurred             - 70
addressing           - 70
notice               - 70
according            - 70
peasant              - 70
approached           - 70
actions              - 70
begin                - 70
muttered             - 69
austrian             - 69
rubles               - 69
pretty               - 69
account              - 69
figure               - 69
formed               - 69
splendid             - 69
send                 - 69
glance               - 69
group                - 69
laughter             - 69
latter               - 69
counts               - 69
serious              - 68
enter                - 68
hurriedly            - 68
sure                 - 68
dressing             - 68
wearing              - 68
guests               - 68
bennigsen            - 68
plain                - 68
feelings             - 68
drawn                - 68
understanding        - 67
neck                 - 67
consciousness        - 67
city                 - 67
whats                - 67
whatever             - 67
consider             - 67
relations            - 67
flushed              - 67
hour                 - 67
silently             - 67
dead                 - 67
majesty              - 66
interest             - 66
visitors             - 66
minutes              - 66
strong               - 66
nesvitski            - 66
telling              - 66
youll                - 66
settled              - 66
simple               - 66
effect               - 65
oclock               - 65
surrounded           - 65
crossed              - 65
sorry                - 65
unknown              - 65
chair                - 65
court                - 65
brothers             - 65
wrong                - 65
riding               - 65
grown                - 65
written              - 65
bare                 - 64
advance              - 64
filled               - 64
onto                 - 64
growing              - 64
blood                - 64
wood                 - 64
commanders           - 64
fate                 - 64
forest               - 64
hold                 - 64
greater              - 64
wishing              - 63
pity                 - 63
mean                 - 63
lifted               - 63
expecting            - 63
imagine              - 63
vera                 - 63
excited              - 63
instant              - 63
shed                 - 63
learned              - 63
twenty               - 63
animated             - 63
needed               - 62
blame                - 62
bent                 - 62
post                 - 62
boots                - 62
squadron             - 62
express              - 62
regard               - 62
government           - 62
explain              - 62
recognized           - 61
threw                - 61
houses               - 61
seven                - 61
visit                - 61
addressed            - 61
write                - 61
letters              - 61
manner               - 61
camp                 - 61
kindly               - 60
julie                - 60
gazing               - 60
genius               - 60
health               - 60
spread               - 60
aside                - 60
dying                - 60
slightly             - 60
pointed              - 60
devil                - 60
possibility          - 60
doubt                - 60
snow                 - 60
yard                 - 60
enough               - 60
conditions           - 60
surprised            - 59
fingers              - 59
tall                 - 59
personal             - 59
beauty               - 59
laugh                - 59
peoples              - 59
familiar             - 59
certainly            - 59
significance         - 59
moments              - 59
approaching          - 59
shown                - 58
maid                 - 58
tushin               - 58
enemys               - 58
paper                - 58
rising               - 58
burning              - 58
bowed                - 58
amid                 - 58
higher               - 58
marriage             - 58
grand                - 58
speranski            - 58
miles                - 58
shoulder             - 58
stay                 - 57
estate               - 57
kuragin              - 57
earth                - 57
touched              - 57
allow                - 57
sovereign            - 57
confused             - 57
forgive              - 57
caught               - 57
servants             - 57
ashamed              - 57
broken               - 57
nearly               - 57
girls                - 57
sons                 - 57
sort                 - 57
river                - 57
noticing             - 56
play                 - 56
gutenbergtm          - 56
form                 - 56
advanced             - 56
gate                 - 56
started              - 56
destroyed            - 56
hurrah               - 56
spot                 - 56
sighed               - 55
bear                 - 55
denisovs             - 55
opposite             - 55
fallen               - 55
sorrow               - 55
happens              - 55
quietly              - 55
bilibin              - 55
movements            - 55
handed               - 55
spoken               - 55
supper               - 55
character            - 55
karataev             - 55
highest              - 54
unexpectedly         - 54
church               - 54
pushed               - 54
stupid               - 54
promised             - 54
abandoned            - 54
arrival              - 54
avoid                - 54
wolf                 - 54
conscious            - 54
stern                - 54
plans                - 54
mass                 - 53
laid                 - 53
early                - 53
regarded             - 53
hastily              - 53
merry                - 53
convinced            - 53
chance               - 53
hall                 - 53
bezukhov             - 53
marys                - 53
twice                - 53
michael              - 53
cloak                - 53
appear               - 53
artillery            - 53
heads                - 53
carry                - 53
quarters             - 52
died                 - 52
marshal              - 52
dron                 - 52
comes                - 52
caused               - 52
lord                 - 52
charming             - 52
apart                - 52
historical           - 52
ceased               - 52
heavy                - 52
entering             - 51
shook                - 51
further              - 51
fond                 - 51
circle               - 51
putting              - 51
drive                - 51
rooms                - 51
passage              - 51
stepped              - 51
barclay              - 51
kill                 - 51
stand                - 51
mothers              - 51
shes                 - 51
inevitability        - 51
appointed            - 51
crossing             - 51
didnt                - 51
scarcely             - 51
necessity            - 51
broke                - 51
journey              - 50
common               - 50
burned               - 50
purpose              - 50
austerlitz           - 50
interests            - 50
division             - 50
gesture              - 50
relation             - 50
darkness             - 50
nose                 - 50
wine                 - 50
king                 - 50
loud                 - 50
shouts               - 50
mentioned            - 50
doctors              - 50
gods                 - 50
places               - 49
floor                - 49
direct               - 49
frenchmen            - 49
object               - 49
arranged             - 49
papa                 - 49
easy                 - 49
burst                - 49
assumed              - 49
agitated             - 49
agree                - 49
frowning             - 48
circumstances        - 48
singing              - 48
worse                - 48
everywhere           - 48
dreadful             - 48
none                 - 48
council              - 48
playing              - 48
reception            - 48
tender               - 48
dull                 - 48
absence              - 48
streets              - 48
bogucharovo          - 48
spirit               - 48
returning            - 48
joyful               - 48
